고객ID,feature
200092715,"[0.0, 0.2349860126502141, 0.0, 0.016774268095893784, 0.21647447358769192, 0.0, 0.19025460959670942, 0.34151063606949056]"
200093276,"[0.0, 0.0, 0.0, 0.31038911116362916, 0.0, 0.0, 0.6896108888363709, 0.0]"
200093864,"[0.1350773743657487, 0.0, 0.0, 0.13263712670559683, 0.12658047672852146, 0.3882957348820927, 0.10008514170585288, 0.11732414561218729]"
200095899,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
200095940,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200097993,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200098263,"[0.11208353932605303, 0.0, 0.0, 0.17310128434298044, 0.3150991328028647, 0.0, 0.3510398475686933, 0.04867619595940862]"
200099333,"[0.0, 0.0, 0.0, 0.523788875189018, 0.14718847099012067, 0.0, 0.0, 0.3290226538208614]"
200099882,"[0.0, 0.0, 0.0, 0.2130123759171123, 0.0, 0.0, 0.0, 0.7869876240828878]"
200100393,"[0.0, 0.0, 0.4523531900196062, 0.04731911652392053, 0.32273462060966296, 0.0, 0.1003186500868286, 0.07727442275998159]"
200103457,"[0.0, 0.0, 0.0, 0.14437858737101383, 0.8556214126289862, 0.0, 0.0, 0.0]"
200105205,"[0.0, 0.36487452951183735, 0.0, 0.08625394523800439, 0.0, 0.0, 0.37448049386137877, 0.1743910313887794]"
200106574,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200110093,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200110618,"[0.0, 0.0, 0.0, 0.42396387096618987, 0.0, 0.0, 0.3195699005501373, 0.25646622848367295]"
200110812,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200110834,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
200110841,"[0.0, 0.0, 0.0, 0.21143360524396362, 0.0, 0.0, 0.0, 0.7885663947560363]"
200113261,"[0.0, 0.6318775016895657, 0.0, 0.06696297292385672, 0.0, 0.0, 0.21729410672620456, 0.08386541866037298]"
200118807,"[0.0, 0.35870831045362617, 0.0, 0.038873584075561185, 0.3171104955018192, 0.0, 0.2853076099689934, 0.0]"
200118848,"[0.0, 0.0, 0.0, 0.36587427656781396, 0.5221632226851771, 0.0, 0.0, 0.11196250074700881]"
200119589,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200119745,"[0.0, 0.0, 0.9859298882548598, 0.014070111745140125, 0.0, 0.0, 0.0, 0.0]"
200120614,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200120912,"[0.0, 0.0, 0.0, 0.2834399967667515, 0.0, 0.0, 0.7165600032332485, 0.0]"
200121753,"[0.0, 0.5822446368017921, 0.0, 0.2065323326440726, 0.0, 0.0, 0.0, 0.2112230305541353]"
200123421,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200124281,"[0.09575312417629338, 0.0, 0.0, 0.14162153401643052, 0.0, 0.0, 0.73569291053462, 0.026932431272656033]"
200125622,"[0.0, 0.05354160077915468, 0.5386111473360429, 0.15053511063788894, 0.09990189811918189, 0.0, 0.057693277256925996, 0.09971696587080545]"
200125877,"[0.0, 0.0, 0.0, 0.5456288110316063, 0.0, 0.0, 0.17293336129567838, 0.2814378276727154]"
200126611,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5592893800346798, 0.44071061996532024]"
200126720,"[0.0, 0.0, 0.0, 0.49088592975282197, 0.0, 0.0, 0.2625450565225361, 0.24656901372464196]"
200127396,"[0.7439419318563435, 0.0, 0.12723090256009573, 0.0397134072051388, 0.0, 0.0, 0.042850720635879185, 0.046263037742542694]"
200128574,"[0.5398265767852289, 0.0, 0.0, 0.2415256895136816, 0.0, 0.0, 0.0, 0.21864773370108942]"
200129259,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200129452,"[0.0, 0.0, 0.0, 0.18535765099677154, 0.0, 0.0, 0.8146423490032284, 0.0]"
200130469,"[0.7236647480597408, 0.0, 0.0, 0.0418890098692474, 0.1307874545485759, 0.0, 0.0839486969216117, 0.0197100906008241]"
200131013,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
200132456,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
200133829,"[0.0, 0.0, 0.0, 0.44052155123874515, 0.0, 0.0, 0.0, 0.5594784487612547]"
200137878,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200138091,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200138206,"[0.0, 0.0, 0.0, 0.38241547022947914, 0.0, 0.0, 0.34315823416874164, 0.2744262956017793]"
200139162,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200140098,"[0.0, 0.4061654913277818, 0.0, 0.28581935686357696, 0.1964227355849838, 0.0, 0.0, 0.1115924162236574]"
200140327,"[0.0, 0.0, 0.0, 0.2880280620022282, 0.26557554708606934, 0.0, 0.2482886086376042, 0.19810778227409837]"
200140980,"[0.0, 0.0, 0.0, 0.4703734191923529, 0.0, 0.0, 0.0, 0.529626580807647]"
200141577,"[0.0, 0.0, 0.0, 0.27322685341586295, 0.24449482504844638, 0.0, 0.10906061503248189, 0.3732177065032088]"
200141783,"[0.0, 0.0, 0.699263645557353, 0.09922000528105948, 0.0, 0.0, 0.17298772443779922, 0.02852862472378837]"
200142195,"[0.0, 0.0, 0.0, 0.3698548598494855, 0.0, 0.0, 0.6301451401505145, 0.0]"
